기관명,홈페이지주소,전화번호,사과,딸기,포도,수박,이메일주소
가락종합사회복지관,http://www.garak.or.kr/,02-449-2341,사과,딸기,포도,수박,garak1108@hanmail.net
가양4종합사회복지관,http://www.gayang4.or.kr/,02-2668-6689,사과,딸기,포도,수박,정보 없음
가양5종합사회복지관,http://www.gy5welfare.or.kr/,02-2668-4603-4,사과,딸기,포도,수박,정보 없음
가양7종합사회복지관,http://www.gayang7.or.kr/,접속 실패,사과,딸기,포도,수박,접속 실패
갈월종합사회복지관,http://www.galwol.or.kr/,분석 실패,사과,딸기,포도,수박,분석 실패
강감찬관악종합사회복지관,http://gaw.or.kr/,02-886-9941,사과,딸기,포도,수박,gw9941@hanmail.net
강남종합사회복지관,http://www.kangnamwelfare.co.kr/,02)451-0051,사과,딸기,포도,수박,knwc0051@hanmail.net
강동종합사회복지관,http://www.kdswc.or.kr/,02-2041-7800,사과,딸기,포도,수박,kdswc@kdswc.or.kr
공릉종합사회복지관,http://www.gongreung.or.kr/,분석 실패,사과,딸기,포도,수박,분석 실패
광장종합사회복지관,http://www.gj.or.kr/xe/,02-2201-1333,사과,딸기,포도,수박,gj1333@naver.com
구로종합사회복지관,https://9ro.or.kr,02-852-0525,사과,딸기,포도,수박,krswc@hanmail.net
구세군강북종합사회복지관,http://www.gangbuk.or.kr/,02-984-5811,사과,딸기,포도,수박,gangbukwelfare@naver.com
궁동종합사회복지관,http://www.happykd.or.kr/,02-2613-9367,사과,딸기,포도,수박,gdwelfare@happykd.or.kr
금천누리종합사회복지관,http://www.gcnuri.or.kr/,02-868-6856,사과,딸기,포도,수박,gcnuri@gcnuri.or.kr
길음종합사회복지관,http://www.guswc.org/,02-6315-6421,사과,딸기,포도,수박,정보 없음
까리따스방배종합사회복지관,http://www.cbwc.or.kr/,02-522-6004,사과,딸기,포도,수박,caritas@cbwc.or.kr
꿈의숲종합사회복지관,http://www.bestbun3.org,분석 실패,사과,딸기,포도,수박,분석 실패
노원1종합사회복지관,http://www.nowon.or.kr/,02-949-0700,사과,딸기,포도,수박,nowon1cwc@nowon.or.kr
녹번종합사회복지관,http://nokbeon.or.kr/,02-388-6341-4,사과,딸기,포도,수박,nokbeon@gmail.com
능인종합사회복지관,http://nungin.or.kr/index.html,02-571-2989,사과,딸기,포도,수박,정보 없음
대방종합사회복지관,http://daebangswc.org/index.html,분석 실패,사과,딸기,포도,수박,분석 실패
대청종합사회복지관,http://www.daechung.or.kr/,02.459.6332,사과,딸기,포도,수박,daechungwelfare@gmail.com
도봉서원종합사회복지관,http://www.dbsw.or.kr/,02-3494-4755,사과,딸기,포도,수박,dbswelfare@dbsw.or.kr
동대문종합사회복지관,http://www.communitycenter.or.kr/,02-920-4500,사과,딸기,포도,수박,ddmw@communitycenter.or.kr
동작이수사회복지관,http://www.isuwelfare.or.kr/,02-592-3721-2,사과,딸기,포도,수박,정보 없음
동작종합사회복지관,http://www.dongjaksw.or.kr/,02-814-8114,사과,딸기,포도,수박,djsw@dongjaksw.or.kr
등촌1종합사회복지관,http://www.dc1welfare.or.kr/,02-2658-1010,사과,딸기,포도,수박,dc1@hanmail.net
등촌4종합사회복지관,http://www.dc4.or.kr/,02-2658-8800,사과,딸기,포도,수박,dc43325@daum.net
등촌7종합사회복지관,http://www.dc7.or.kr/,02-2658-6521,사과,딸기,포도,수박,dc7welfare@hanmail.net
등촌9종합사회복지관,http://www.dc9.or.kr/,02-2658-4129,사과,딸기,포도,수박,정보 없음
마들종합사회복지관,http://www.madeul.org/,02-971-8387,사과,딸기,포도,수박,madeul@daum.net
마천종합사회복지관,http://macheon-welfare.or.kr,접속 실패,사과,딸기,포도,수박,접속 실패
면목종합사회복지관,http://www.truem.or.kr/,02-436-0500,사과,딸기,포도,수박,truem500@hanmail.net
목동종합사회복지관,http://www.mokdongswc.org,02-2651-2332,사과,딸기,포도,수박,정보 없음
반포종합사회복지관,http://www.mybanpo.org/,02)3477-9811,사과,딸기,포도,수박,정보 없음
방아골종합사회복지관,http://www.bangahgol.or.kr/,02)3491-5420,사과,딸기,포도,수박,bangahgol@hanmail.net
방화11종합사회복지관,http://banghwa11.or.kr/,02-2661-0670,사과,딸기,포도,수박,banghwa11@banghwa11.or.kr
방화2종합사회복지관,http://banghwa2.goodneighbors.kr/,접속 실패,사과,딸기,포도,수박,접속 실패
방화6종합사회복지관,http://banghwa6.or.kr/,분석 실패,사과,딸기,포도,수박,분석 실패
번오마을종합사회복지관,http://www.bun5bok.or.kr/,02-981-5077,사과,딸기,포도,수박,정보 없음
북부종합사회복지관,http://www.bookboo.or.kr/,02-934-7711,사과,딸기,포도,수박,bbcc@bookboo.or.kr
북서울종합사회복지관,http://www.saeun.com/,02-987-5077,사과,딸기,포도,수박,bun2bok@hanmail.net
사당종합사회복지관,http://www.sadangwelfare.org/new_2007/index.htm,02-597-3710-2,사과,딸기,포도,수박,정보 없음
사랑의전화마포종합사회복지관,http://www.laf.or.kr/,02-712-8600,사과,딸기,포도,수박,정보 없음
삼전종합사회복지관,http://www.samjeon.or.kr/index.php,02)421-6077,사과,딸기,포도,수박,samjeon-wc@hanmail.net
상계종합사회복지관,http://www.sanggyebokji.or.kr/,02-951-9930-2,사과,딸기,포도,수박,sanggyewc@hanmail.net
상도종합사회복지관,http://www.happysangdo.or.kr/,02-824-6011-3,사과,딸기,포도,수박,정보 없음
생명의전화종합사회복지관,http://www.lifelineseoul.or.kr/,02-2179-5416,사과,딸기,포도,수박,lifelineseoul@hanmail.net
